regla,H,n_raw,n_indep,p_up,base_up,lift,ci_lo,ci_hi,mean_ret,base_ret,edge_ret,lift_IS,lift_OOS,yrs_ok,n_yrs,signif,universo
C14 mr_score>0.9 & px>ema200,21,7081,1430,0.620979020979021,0.5894247488840954,0.03155427209492567,0.5958336445571726,0.6461243974008695,0.019453704139379448,0.015210966521968631,0.004242737617410817,0.033664358871247635,0.02054233898463087,0.5882352941176471,17,2.4595524946016236,acciones+ETFs
C15 mr_score>0.9 & SPY>ema200,3,16106,7478,0.5501470981545867,0.5430094413145261,0.007137656840060624,0.5388715408267732,0.5614226554824002,0.0027456877967063933,0.0021856427279600783,0.000560045068746315,0.01812739291746779,-0.009568779665992566,0.6470588235294118,17,1.2407198154196832,acciones+ETFs
C15 mr_score>0.9 & SPY>ema200,5,16106,5443,0.5664155796435789,0.5523930265640531,0.014022553079525824,0.5532499591022366,0.5795812001849212,0.004282829142082475,0.003626211831220274,0.0006566173108622014,0.026538385943160603,-0.004904968605477622,0.6470588235294118,17,2.0875737645305406,acciones+ETFs
C15 mr_score>0.9 & SPY>ema200,10,16106,3738,0.5914927768860353,0.5690746346928559,0.02241814219317939,0.575734416962652,0.6072511368094186,0.00885814732198269,0.007186599201579938,0.001671548120402753,0.038031891322823586,-0.0010910407127302513,0.7058823529411765,17,2.7883332346934986,acciones+ETFs
C15 mr_score>0.9 & SPY>ema200,21,16106,2702,0.6065877128053294,0.5894247488840954,0.017162963921234065,0.5881679444876838,0.625007481122975,0.015047338487415303,0.015210966521968631,-0.00016362803455332794,0.025964363954814385,0.0027673971839545786,0.7647058823529411,17,1.8262666883487984,acciones+ETFs
C16 dd252<-15% & ema200 subiendo,3,21149,8030,0.5541718555417185,0.5430094413145261,0.011162414227192441,0.5432999850020924,0.5650437260813447,0.004322946499090715,0.0021856427279600783,0.002137303771130637,0.010823679807431374,0.015269608550953606,0.75,16,2.012379728543901,acciones+ETFs
C16 dd252<-15% & ema200 subiendo,5,21149,5269,0.5651926361738471,0.5523930265640531,0.012799609609793983,0.5518070108416605,0.5785782615060336,0.007253306158064881,0.003626211831220274,0.003627094326844607,0.012115569207041377,0.018346341586539694,0.8125,16,1.8741922183398083,acciones+ETFs
C16 dd252<-15% & ema200 subiendo,10,21149,3120,0.5935897435897436,0.5690746346928559,0.024515108896887683,0.5763550209649803,0.6108244662145069,0.013393657286514595,0.007186599201579938,0.006207058084934657,0.02453304746253393,0.031476099297950144,0.8125,16,2.7879539743135133,acciones+ETFs
C16 dd252<-15% & ema200 subiendo,21,21149,1913,0.6053319393622583,0.5894247488840954,0.015907190478162914,0.5834285475576029,0.6272353311669137,0.027894838496315653,0.015210966521968631,0.012683871974347023,0.012235037591984632,0.02895893813847017,0.6875,16,1.4234367724989814,acciones+ETFs
C17 gap<-1 ATR & px>ema200,3,2477,2416,0.5091059602649006,0.5430094413145261,-0.033903481049625483,0.4891714497275067,0.5290404708022945,-0.0009488882676246432,0.0021856427279600783,-0.0031345309955847214,-0.0506784896734615,-0.012227729588694669,0.7058823529411765,17,3.3334564564610205,acciones+ETFs
C17 gap<-1 ATR & px>ema200,5,2477,2350,0.5225531914893617,0.5523930265640531,-0.029839835074691345,0.5023579109809488,0.5427484719977747,0.00018395899919658614,0.003626211831220274,-0.0034422528320236876,-0.04063891894113725,-0.014765429168224431,0.6470588235294118,17,2.8960269564976406,acciones+ETFs
C17 gap<-1 ATR & px>ema200,10,2477,2203,0.5633227417158421,0.5690746346928559,-0.005751892977013839,0.5426114229739535,0.5840340604577307,0.0031882566089898178,0.007186599201579938,-0.0039983425925901196,-0.009997625116919151,0.0018150798531703094,0.5882352941176471,17,0.5443260458420789,acciones+ETFs
C17 gap<-1 ATR & px>ema200,21,2477,2008,0.5816733067729084,0.5894247488840954,-0.007751442111186946,0.5600972749961304,0.6032493385496864,0.009917779932094296,0.015210966521968631,-0.005293186589874335,-0.025742018870309247,0.01859713218603687,0.5294117647058824,17,0.7041529552379632,acciones+ETFs
C18 rsi2<5 & vol alta,3,7404,4374,0.5612711476909008,0.5430094413145261,0.018261706376374698,0.5465649249710558,0.5759773704107458,0.005109482721477499,0.0021856427279600783,0.0029238399935174204,0.01781645982148794,0.020988416781602348,0.6470588235294118,17,2.4338638941863877,acciones+ETFs
C18 rsi2<5 & vol alta,5,7404,3874,0.5730511099638617,0.5523930265640531,0.02065808339980857,0.557474932498797,0.5886272874289263,0.007359793572050258,0.003626211831220274,0.003733581740829984,0.029848353306803133,0.013613517985386459,0.8235294117647058,17,2.599472402933141,acciones+ETFs
C18 rsi2<5 & vol alta,10,7404,3398,0.5900529723366686,0.5690746346928559,0.02097833764381274,0.5735160854333388,0.6065898592399985,0.00993263908619575,0.007186599201579938,0.0027460398846158125,0.03779809227687447,0.006492826961002951,0.7058823529411765,17,2.486413677630799,acciones+ETFs
C18 rsi2<5 & vol alta,21,7404,2827,0.5960382030420941,0.5894247488840954,0.006613454157998744,0.5779497942991465,0.6141266117850417,0.016216630202372358,0.015210966521968631,0.0010056636804037268,0.032706361694155306,-0.018132232249153946,0.8235294117647058,17,0.716611965921623,acciones+ETFs
C19 rsi2<5 & vol baja,3,4441,2813,0.545680767863491,0.5430094413145261,0.0026713265489648474,0.5272806294516525,0.5640809062753294,0.0024063365949567226,0.0021856427279600783,0.0002206938669966443,0.012103791739393133,-0.008087023385783154,0.5882352941176471,17,0.2845522092704732,acciones+ETFs
C19 rsi2<5 & vol baja,5,4441,2582,0.5480247869868319,0.5523930265640531,-0.004368239577221211,0.5288276986905803,0.5672218752830834,0.0038602647459393454,0.003626211831220274,0.00023405291471907154,0.0019645074089237324,-0.011018263036028153,0.47058823529411764,17,0.44599209209374396,acciones+ETFs
C19 rsi2<5 & vol baja,10,4441,2344,0.5332764505119454,0.5690746346928559,-0.03579818418091052,0.5130796150301379,0.5534732859937529,0.00412361658415097,0.007186599201579938,-0.003062982617428968,-0.04162205680351483,-0.0264744808603522,0.7058823529411765,17,3.4740314173369407,acciones+ETFs
C19 rsi2<5 & vol baja,21,4441,2054,0.5900681596884129,0.5894247488840954,0.0006434108043175124,0.568798390940648,0.6113379284361777,0.0129263602110741,0.015210966521968631,-0.0022846063108945304,0.012612037621669736,-0.01355029687306275,0.47058823529411764,17,0.05929002761700672,acciones+ETFs
C20 rsi2<10 & px>ema200 & SPY>ema200,3,17144,10571,0.5553873805694826,0.5430094413145261,0.01237793925495645,0.5459143937884827,0.5648603673504824,0.003034119821656212,0.0021856427279600783,0.0008484770936961336,0.008408891433478782,0.018122623000168536,0.6470588235294118,17,2.5610466371994667,acciones+ETFs
C20 rsi2<10 & px>ema200 & SPY>ema200,5,17144,9261,0.5652737285390347,0.5523930265640531,0.01288070197498159,0.5551773767739052,0.5753700803041641,0.00497622169165822,0.003626211831220274,0.0013500098604379458,0.011245947610389884,0.014841391120988034,0.5882352941176471,17,2.5005245912844156,acciones+ETFs
