date,asset,entry,fijo_5d,fijo_10d,fijo_21d,rsi14>70,cierre<ema20,trailing_2.5atr,tp5_sl3,year,period
2024-11-01,AAPL,219.34572401852256,0.02814472809704549,0.01926579712765153,0.09922146267838916,0.09922146267838916,0.004615543636897312,0.1305203283487788,0.05,2024,OOS
2025-01-14,AAPL,233.1503884256181,-0.04607052726157279,0.02011592255983974,0.030495874049612848,-0.17114055579264176,0.013765750664596732,-0.03178375428174218,-0.03,2025,OOS
2026-01-06,AAPL,262.7119324450406,-0.008168814312679462,-0.05908061418648092,0.04829020663109418,-0.009370411153702407,-0.010904352209938684,-0.04059006706881374,-0.03,2026,OOS
2026-06-25,AAPL,275.0,0.12229092684659082,0.14661820845170448,0.2251272860440341,0.21185458096590915,0.03192726828835224,0.18132761708024936,0.05,2026,OOS
2018-04-09,EWZ,26.047761957399988,-0.00852266494226428,0.008522735074092624,-0.05042613830031473,-0.1891959528753797,0.013731013099203881,-0.01913773756991044,-0.03,2018,IS
2019-03-22,EWZ,25.830678380544324,0.010103239725834934,0.04213891421160376,0.013799839786009072,0.10756530908031392,0.008871285840573728,-0.014965191858857141,-0.03,2019,IS
2019-08-05,EWZ,27.62931189880841,-0.006299700514548978,-0.049230334453833846,-0.038964152716471134,0.05039642424917834,0.001633217308151691,-0.0059606461421159995,-0.03,2019,IS
2021-07-19,EWZ,25.334154415999194,0.041432733040713154,0.016305785191819133,-0.038492397014905144,-0.12162523215178278,0.020315378899574466,-0.003363301058334489,0.05,2021,OOS
2022-04-22,EWZ,24.725884563341296,-0.03475697939493272,-0.07687783025276629,0.026215130069863424,-0.16532465133450303,0.004123693269582063,-0.051979358917350504,-0.03,2022,OOS
2023-08-15,EWZ,25.773590436820943,0.006189014486415401,0.0469056419816305,0.0553747330623926,0.08729642989113229,-0.005863201977280519,-0.001478018949397475,0.05,2023,OOS
2023-09-07,EWZ,25.698034244287403,0.05847769789496615,0.01927482569304728,-0.041162988191861705,0.090493249446159,-0.000980094284459443,0.015035183302288813,0.05,2023,OOS
2023-09-26,EWZ,25.63087233124676,-0.04552907195490852,0.0026204282762165576,-0.019980400070021553,0.09335072584587656,-0.015394733381342895,-0.03554715782940754,-0.03,2023,OOS
2026-03-13,EWZ,35.858630263311575,-0.03149179175103434,0.011878377251977268,0.15276235827961204,0.14171271771396743,0.009115967110566059,0.08581953817226684,-0.03,2026,OOS
2026-05-13,EWZ,36.83928940495874,-0.01183103770963545,-0.02903996189938607,-0.05619783745340079,-0.040698104566833426,-0.0016132713312514424,-0.050982743816225806,-0.03,2026,OOS
2010-11-30,GOOGL,13.965256081724013,0.04287751995986744,0.05667846736251936,0.0636945544552665,0.13611012552719237,0.0023978776565929394,0.08919981071282379,0.05,2010,IS
2011-11-23,GOOGL,14.019578841754862,0.08595340465265378,0.08998759540637491,0.12022508124645337,0.17732100577206422,-0.0038748028784133526,0.12781582999689323,0.05,2011,IS
2012-11-07,GOOGL,16.62436232661386,-0.026335577728121895,-0.006460873656780164,0.020904003312512964,0.1572663618392065,-0.026723372354601205,0.05693325171597707,-0.03,2012,IS
2013-08-16,GOOGL,21.2755615472948,0.014573497021119985,-0.012603464083161597,0.03311136060534814,0.1791979483235282,0.00925717758941036,-0.010214698693592927,0.03311136060534814,2013,IS
2013-10-07,GOOGL,21.46432597421588,0.012469418987436365,0.15945557307238145,0.18051126609008095,0.16882768907526713,-0.013463250607137489,0.1402646318447538,0.05,2013,IS
2014-03-24,GOOGL,28.922713257994484,-0.044159583882906084,-0.07360299997041919,-0.07894934004686416,-0.018923679600568066,-0.00624350703702703,-0.03756292229980018,-0.03,2014,IS
2015-08-24,GOOGL,32.03939842990028,0.0020882333027343325,-0.0040064076877536214,0.010549900289518188,0.13094193477278582,-0.052593335482801984,-0.032358315546762606,-0.03,2015,IS
2015-09-29,GOOGL,31.313831081074586,0.06300753955372773,0.08125615370498229,0.16632653003913966,0.15714679418983835,0.010350935492292379,0.18915312631338543,0.05,2015,IS
2016-01-08,GOOGL,36.275837041778786,-0.029318915817384883,0.0022814018015273607,-0.042257144981687644,0.04422412145348953,0.0015301524992923365,-0.02787619736087199,-0.03,2016,IS
2016-02-05,GOOGL,34.08178544538615,0.027934414867519575,0.060158859309328516,0.03759008532941488,0.060275376088060106,0.0239646736655299,0.057962669250658516,0.05,2016,IS
2016-11-02,GOOGL,38.88024096872275,0.026883256123394483,-0.005761637565120936,-0.025544958827721342,0.08289361443828236,-0.0029444893206951317,-0.0002376958908464344,-0.03,2016,IS
2017-08-10,GOOGL,45.77956009466242,0.004276284940674557,0.014268587976326241,0.021197188038964976,0.08870756251549183,0.006906934785862351,0.060437746931063296,0.021197188038964976,2017,IS
2018-02-05,GOOGL,51.24460587228022,0.019903652488317825,0.06732231583344395,0.07839600302803706,0.02380115743223543,0.04879202732054844,-0.0028252523185174905,0.05,2018,IS
2018-03-22,GOOGL,52.10645532994727,-0.013534686644282923,-0.03939608165275932,0.021343579416841507,0.125750183007018,-0.023607314587689276,-0.05261942959991972,-0.03,2018,IS
2018-06-27,GOOGL,55.130641104863024,0.025980133212951895,0.07989101119849695,0.12630467429329628,0.13103316940629828,0.012936137606875286,0.1102235420757589,0.05,2018,IS
2018-10-09,GOOGL,56.320588638181995,-0.0029214361287456247,-0.01891048590763955,-0.02477992422389963,-0.06329631404727731,-0.03892991900246945,-0.05271672986254783,-0.03,2018,IS
2020-02-25,GOOGL,69.1359421457947,-0.04104700777059889,-0.08588634635479797,-0.21029669703031573,0.018136688206611185,-0.0032330501137535217,-0.041653757760498844,-0.03,2020,OOS
2021-09-28,GOOGL,135.77604845611555,-0.006986579094102607,-0.003876518569310483,0.06743673996478661,0.07063086225414272,-0.019174298753464436,-0.0428928766408061,-0.03,2021,OOS
2022-01-05,GOOGL,135.79436399283284,0.03235093742360884,-0.026941694375412828,0.045945869186772015,-0.008102150834836785,0.005467161279587129,-0.011869061596996078,-0.03,2022,OOS
2022-01-20,GOOGL,131.42810942176132,-0.02706399651523239,0.07916287504853381,-0.016520384994016313,-0.09772726583743718,-0.016908855226356656,-0.04745877145242494,-0.03,2022,OOS
2023-10-25,GOOGL,122.18653477861498,0.025797033421059323,0.06952221548538429,0.10886675582761818,0.20629524485433337,-0.008031134020682451,0.05579548951105928,0.05,2023,OOS
2024-08-05,GOOGL,158.11086239581772,0.018577821492531843,0.04606781173477148,-0.018075691844252728,0.09641304838430775,-0.006527386763132359,-0.017336295447256234,0.05,2024,OOS
2025-02-24,GOOGL,177.11488051844918,-0.061952268337180816,-0.06728240219010395,-0.04090965905666133,-0.027751416095590287,-0.01471576733311164,-0.06086093803117354,-0.03,2025,OOS
2026-02-12,GOOGL,307.32996759040856,0.02355965839252705,0.013095920223049617,-0.006352695155553256,0.09627695876393316,-0.006531731367969473,-0.044318538341440505,-0.03,2026,OOS
2026-03-06,GOOGL,294.1842573074437,0.026905896001525376,0.02255747895313487,0.037708991364361566,0.14526441792201994,0.04076641050809959,-0.009445677845383083,0.05,2026,OOS
2026-03-24,GOOGL,293.2648285118823,-0.020038176279306374,0.08137953782598784,0.1548869168582354,0.1488549919765787,-0.008553740951273925,-0.056163867775381626,-0.03,2026,OOS
2026-06-03,GOOGL,358.68575901079333,-0.00642834032312789,0.014230421492632983,0.021674215518689977,-0.012227335788072446,0.03702983775685187,-0.028368504291024,-0.03,2026,OOS
2026-06-24,GOOGL,336.7300109863281,0.07269913482628065,0.06580941092004156,-0.050455914820859094,0.05217823251089437,0.020728715116020258,0.027700924042390662,0.05,2026,OOS
2011-06-03,IBM,91.97036127149818,-0.009589107713668388,-0.0019421567073159007,0.0647609039856174,0.05935970874117036,-6.073898125147359e-05,0.090668576504356,0.05,2011,IS
2011-08-04,IBM,96.06764912308623,-0.026984662643893542,-0.0439084032522048,-0.02552466242172935,0.1119097710239274,0.005113264346539026,-0.034497202088002776,-0.03,2011,IS
2011-11-23,IBM,100.20053282767316,0.06426602003438076,0.07623161858711436,0.037863277723557465,0.11442887004597524,-0.005336758891579585,0.040976120411675865,0.05,2011,IS
2012-05-18,IBM,111.20921192732959,-0.008571712304045409,-0.03796302934002982,0.0150528227919553,0.027431930723247344,0.009082561447815163,-0.024828058834002964,-0.03,2012,IS
2014-05-15,IBM,109.91608997894696,-0.0031676264038910107,-0.010254011809595398,-0.021044935973959622,0.01190797432702273,0.004241104058027911,-0.030405685545828676,-0.021044935973959622,2014,IS
2017-04-10,IBM,110.19576001557151,-0.0035157946633411763,-0.06012254146963092,-0.10502464055547056,-0.09052747160752528,-0.0004101238966989218,-0.0204246944450297,-0.03,2017,IS
2020-02-26,IBM,101.09165856592229,-0.022005402327097245,-0.14041114958484802,-0.17742665285432813,-0.08044248115740271,-0.0300933033006211,-0.04682034467474172,-0.03,2020,OOS
2021-08-19,IBM,109.53275540321788,0.007550541215203488,0.016480183999278974,-0.024902023520922745,-0.1022601737069675,0.009946290540931102,-0.012222442191534233,-0.03,2021,OOS
2021-09-20,IBM,107.44134498024175,0.02553472066248652,0.06661236065722087,0.050847462328795334,-0.0031952993568566956,-0.01583895942562763,0.04598347831865146,0.05,2021,OOS
2022-01-21,IBM,107.8819182540907,0.050863367267667936,0.07156809241954853,-0.02013675903465517,0.093727030124237,0.006484955655149394,0.01909701506412209,0.05,2022,OOS
2023-10-20,IBM,125.45658322267772,0.04310893905483182,0.08248525214497127,0.14250527686696923,0.11334105207976619,-0.0018297591382978595,0.19400134955983184,0.05,2023,OOS
2024-04-12,IBM,173.89787820226672,-0.02150149711059257,-0.09936956576635392,-0.08808898004469645,-0.004985038406693398,-0.023279663489321534,-0.03300801761442662,-0.03,2024,OOS
2024-10-28,IBM,202.3828388282042,-0.02674644127096537,0.007453259332071083,0.08794491914648117,0.11010031278520338,-0.007358897952541077,-0.027971158567463128,-0.03,2024,OOS
2024-12-18,IBM,215.93805748534618,0.002094266413992907,-0.007886996258069878,-0.0051689514255656155,0.150833184038625,-0.002227965440154689,-0.03729645851809149,-0.03,2024,OOS
