feature,n,ic_pooled,ic_ts,ic_xs,ic_is,ic_oos,ts_consist,yr_consist,d10,d1,d10_d1,abs_ic
bb_pctb,361193,-0.03286277886342368,-0.05120634084333051,0.003798843474040011,-0.04238768266518507,-0.02388418172218221,0.7934782608695652,0.9411764705882353,0.05290607526878968,0.05541404669788601,-0.0025079714290963256,0.03286277886342368
zscore_20,361193,-0.03286277886342368,-0.05120634084333051,0.003798843474040011,-0.04238768266518507,-0.02388418172218221,0.7934782608695652,0.9411764705882353,0.05290607526878968,0.05541404669788601,-0.0025079714290963256,0.03286277886342368
obv_slope21,361009,-0.03230812886153032,-0.05075186873127731,0.0051011139817904744,-0.04442408047483178,-0.01950939704628238,0.717391304347826,0.7647058823529411,0.06288636759965838,0.05786764570637601,0.0050187218932823685,0.03230812886153032
bb_bw_rank120,355765,0.03138418085038182,0.03452573111217328,-0.0015698548400275723,0.03751451098310193,0.024212098057020407,0.7608695652173914,0.6470588235294118,0.051655901540495236,0.05597639077104603,-0.0043204892305507975,0.03138418085038182
ema50_slope21,356501,-0.030142037760737456,-0.07474474875823238,0.0057304003156459045,-0.048328182200320126,-0.01440819796490038,0.7934782608695652,0.7647058823529411,0.0781372558501346,0.06057951681931791,0.017557739030816692,0.030142037760737456
ret_63,357145,-0.03010027997339862,-0.07706686584296862,0.006397532188301059,-0.04657971110833519,-0.015211820271198898,0.782608695652174,0.7058823529411765,0.07886004155971416,0.06366514348967535,0.015194898070038806,0.03010027997339862
rs_252,335729,0.029775094150302543,-0.033947484560483084,0.033025670948487754,0.032614309949539164,0.024095668923824917,0.34065934065934067,0.5625,0.07656404192661294,0.04559746916791574,0.0309665727586972,0.029775094150302543
vol_of_vol,355305,0.02969547474248431,0.025755585788630856,0.024976095149049183,0.0019679825982952823,0.05663115223475834,0.6086956521739131,0.5294117647058824,0.07217118687928138,0.05580413670342842,0.016367050175852965,0.02969547474248431
ret_21,361009,-0.029073864833876292,-0.05720233046055781,0.011264435559726357,-0.038040711648510694,-0.021152518043861025,0.75,0.8235294117647058,0.06945087339417677,0.06109700650888065,0.008353866885296123,0.029073864833876292
px_ema20,361193,-0.027475554224566774,-0.056892935948054904,0.008342447473022489,-0.03754479386051061,-0.018374742358970603,0.75,0.8235294117647058,0.06871596933170791,0.06026048125110352,0.008455488080604395,0.027475554224566774
mom_accel,357145,-0.021702277914322266,-0.026804197471184083,-0.00024024678894603855,-0.01320262860316129,-0.030401234164443403,0.7065217391304348,0.7647058823529411,0.06578337715375975,0.06922122908679003,-0.0034378519330302837,0.021702277914322266
rsi2,362757,-0.019130742543789294,-0.03105462070954001,0.006564267418729424,-0.027227703573965728,-0.010812926586733586,0.8043478260869565,0.8823529411764706,0.05519466577356999,0.05554807943137393,-0.00035341365780394013,0.019130742543789294
days_above_ema200_63,360273,-0.018469309671885443,-0.05513286373106281,0.005459483265678695,-0.02753609714044547,-0.007324037522549757,0.7282608695652174,0.6470588235294118,0.18060548317027467,0.0565373431458067,0.12406814002446798,0.018469309671885443
dist_52w_low,353833,0.018368065616174694,-0.03522403688976971,0.05458865110799003,-0.036221871332560635,0.07431466468646998,0.41304347826086957,0.47058823529411764,0.0991465538480697,0.042286490300308816,0.05686006354776088,0.018368065616174694
ret_5,362481,-0.018080055788769086,-0.033967604665564366,0.00801982922254372,-0.026713088036890247,-0.009614991013510632,0.8043478260869565,0.8823529411764706,0.06732163364878684,0.06362262950394203,0.0036990041448448086,0.018080055788769086
px_ema200,344633,-0.01796314424737902,-0.08395114933403629,0.025778339169740795,-0.04506208503857226,0.005294938676034762,0.7717391304347826,0.8235294117647058,0.07789292319795094,0.05302000990208706,0.02487291329586388,0.01796314424737902
vol_ratio_21_63,357145,0.014468147475753345,0.01915189633752378,-0.014392372838644448,0.019631089147222548,0.00854358712687344,0.6413043478260869,0.7647058823529411,0.06592558771229814,0.06669890227787367,-0.000773314565575528,0.014468147475753345
ret_126,351349,-0.012576832033491931,-0.06429504487166499,0.02350363317133609,-0.04733311592627302,0.018880475648651487,0.717391304347826,0.5882352941176471,0.08845286155305915,0.056527824011666825,0.03192503754139232,0.012576832033491931
bar_pos,362940,-0.011268030389771016,-0.016953650794791067,0.007203277272396525,-0.010671514172002834,-0.01214517738533636,0.8043478260869565,0.8823529411764706,0.057906239895109436,0.058864041684689825,-0.0009578017895803884,0.011268030389771016
down_streak,362941,0.010709978001045667,0.016595874093845237,-0.004636323465120602,0.015080150103192377,0.006231742783248898,0.7391304347826086,0.8823529411764706,,0.05122384361685749,,0.010709978001045667
ema50_ema200,344633,-0.008547079232054786,-0.0708744986524699,0.02607947547793475,-0.027253163629592726,0.010135131080219784,0.75,0.7647058823529411,0.07650882602696125,0.054884074616762764,0.02162475141019849,0.008547079232054786
vol_ratio_20,361193,0.008034072785938918,0.012216290394809778,-0.007824690021549521,0.0043736520514389135,0.012424811982049878,0.782608695652174,0.6470588235294118,0.05965587421548208,0.06776169100936827,-0.008105816793886188,0.008034072785938918
macd_hist_norm,359905,-0.00647670179477858,-0.012339877481058328,0.0048832409651867114,-0.012106206200267042,-0.000849389923979084,0.6195652173913043,0.7058823529411765,0.06678384922126956,0.06501272736266732,0.0017711218586022454,0.00647670179477858
macd_hist_slope,359445,-0.006345327379918883,-0.008336117052214001,-0.005650172064057144,-0.009156114330131856,-0.003718565147614091,0.6739130434782609,0.6470588235294118,0.06488507813736911,0.06541039329554744,-0.00052531515817833,0.006345327379918883
ret_252,339757,-0.00610549620781063,-0.07202834119144963,0.033025670948487754,-0.03237782791147095,0.01802936416409516,0.782608695652174,0.5625,0.0735199930572118,0.04884904243837871,0.024670950618833086,0.00610549620781063
mom_12_1,339757,0.0032643013483731062,-0.04576112372913416,0.030804096892877424,-0.01703705678768313,0.023640296772772833,0.31521739130434784,0.4375,0.07052438296627521,0.05096521830250814,0.019559164663767066,0.0032643013483731062
rs_63,352928,0.0031170316329405816,-0.03423521336863122,0.006397532188301059,0.0075306028965238725,-0.004339937133830712,0.3076923076923077,0.4117647058823529,0.07237303305700576,0.05214869404300308,0.020224339014002682,0.0031170316329405816
rs_21,356750,-0.0020557252241934698,-0.023428073511208094,0.011264435559726357,0.011091498281515417,-0.01584798881546917,0.6043956043956044,0.5294117647058824,0.06475184062207391,0.05408060092116866,0.01067123970090525,0.0020557252241934698
dollar_vol_trend,357513,0.0019716903923731265,-0.0028353556287305853,-0.008464762949352935,-0.01054378613133227,0.01518678308294455,0.5543478260869565,0.35294117647058826,0.06471256722308366,0.06538612788593841,-0.0006735606628547469,0.0019716903923731265
adx14,360549,-0.001462263079845731,-0.006676727506082527,0.009575840169502147,-0.01698290991090984,0.014206998896243665,0.532608695652174,0.4117647058823529,0.057172668508053096,0.05397164675051993,0.0032010217575331665,0.001462263079845731
ema200_slope63,338837,-0.0008071729056457398,-0.056742356668984535,0.024988984924794278,-0.018345023287290332,0.01656449830351024,0.7065217391304348,0.625,0.07196518018407493,0.05330490464967204,0.018660275534402887,0.0008071729056457398
