feature,n,ic_pooled,ic_ts,ic_xs,ic_is,ic_oos,ts_consist,yr_consist,d10,d1,d10_d1,abs_ic
rs_63,347195,0.020600539326315667,-0.03655510194930319,0.028258522131001954,0.004983376958895191,0.024492758185029932,0.3516483516483517,0.5294117647058824,0.07677592746997021,0.03392349945846661,0.0428524280115036,0.020600539326315667
ema50_slope21,346558,0.020269874659304986,-0.0328679149673836,0.026569112240552462,0.002639878685178543,0.034329020717230894,0.3956043956043956,0.5294117647058824,0.0717648089786189,0.032829316442808384,0.03893549253581051,0.020269874659304986
vol_of_vol,345375,0.020202110878014455,0.01637531450690807,0.02651573573408438,0.031132828115508455,0.003294358216882125,0.6153846153846154,0.6470588235294118,0.041131946140228415,0.02804748316606274,0.013084462974165673,0.020202110878014455
px_ema20,351199,0.019450370255019583,-0.017899283640497702,0.01788030416814988,0.0030826325211803693,0.03559094184280861,0.38461538461538464,0.5294117647058824,0.061584164765011114,0.0367109701421149,0.024873194622896215,0.019450370255019583
drawdown_252,343919,0.018458631671090433,-0.04220491092312097,-0.015520481618259014,-0.004304968701860584,0.01802832858872194,0.2967032967032967,0.5294117647058824,0.008331538393160623,0.06082422820979264,-0.05249268981663202,0.018458631671090433
ret_63,347195,0.018435369014478644,-0.03211899779103353,0.028258522131001954,0.0014263831182882317,0.03157072773222534,0.4175824175824176,0.5882352941176471,0.07677592746997021,0.03392349945846661,0.0428524280115036,0.018435369014478644
days_above_ema200_63,350289,0.018057501881360814,-0.03528690117813033,0.018717964090153832,0.013043170088726729,0.014516467509523928,0.34065934065934067,0.47058823529411764,0.16516326429680278,0.030829644915722258,0.13433361938108052,0.018057501881360814
rsi14,351654,0.017961648395697968,-0.01671774560602238,0.010731928370883846,0.0015264614638093245,0.029550019061921427,0.4175824175824176,0.4117647058823529,0.03383857030981665,0.0178567315284933,0.01598183878132335,0.017961648395697968
atr_pct,351745,0.017327472040773666,0.012826262890566967,0.08867573792352769,0.045794603027056256,0.02587218551291958,0.5384615384615384,0.5882352941176471,0.13610316462871577,-0.01151280357965825,0.14761596820837403,0.017327472040773666
dist_52w_high,343919,0.017294528890675433,-0.040347193399219466,-0.019525649007602962,-0.009278505918663067,0.01889136455595569,0.2967032967032967,0.5294117647058824,0.0063586583282940114,0.061021048311243595,-0.05466238998294958,0.017294528890675433
ret_21,351017,0.01707037324135073,-0.017935384410457392,0.018993098708933894,0.0032025553599731855,0.03130889670030209,0.34065934065934067,0.47058823529411764,0.06413279892676181,0.039816216121335346,0.024316582805426465,0.01707037324135073
rs_21,351017,0.016317473318920243,-0.024180628901353755,0.018993098708933894,0.01104718303906163,0.016989547675223638,0.31868131868131866,0.5882352941176471,0.06413279892676181,0.039816216121335346,0.024316582805426465,0.016317473318920243
corr_bench_63,349288,-0.01630938419858689,0.0018636991128677311,-0.012686948675347124,-0.05387353395053093,0.008839601240207533,0.5164835164835165,0.7058823529411765,0.010535458503365132,0.052671052946699944,-0.04213559444333481,0.01630938419858689
zscore_20,351199,0.01342508381453757,-0.00976584229927887,0.0054156356240589835,0.0022227318661496775,0.021191133056834635,0.43956043956043955,0.4117647058823529,0.02573837478304477,0.02225246064975037,0.0034859141332943995,0.01342508381453757
bb_pctb,351199,0.01342508381453757,-0.00976584229927887,0.0054156356240589835,0.0022227318661496775,0.021191133056834635,0.43956043956043955,0.4117647058823529,0.02573837478304477,0.02225246064975037,0.0034859141332943995,0.01342508381453757
obv_slope21,351017,0.01323443891587458,-0.00894963404806745,0.005671439722186712,-0.004739034943398291,0.029628437429898447,0.3516483516483517,0.47058823529411764,0.030014358294720263,0.022492949992982725,0.007521408301737538,0.01323443891587458
bb_bandwidth,351199,0.012406492770674873,0.004424065755302705,0.06367016476057522,0.029215472470815625,0.020857886325293545,0.5824175824175825,0.47058823529411764,0.09810074068363098,-0.009637384580593465,0.10773812526422444,0.012406492770674873
