condicion,asset,horizonte_h,periodo,n,ret_medio,win_rate,base_ret_medio,base_win_rate
fib_0.786,ETH,24,OOS,72,0.0013007930090525464,0.6527777777777778,0.0015970021157378656,0.5120828538550057
fib_0.786,ETH,72,IS,132,0.012385942943325422,0.5909090909090909,-0.0012551304468598522,0.48679993895925533
fib_0.786,ETH,72,OOS,72,-0.0009960604406247257,0.5555555555555556,0.007412251633772698,0.5091924598557133
rsi_sobrecompra,BNB,4,IS,192,-0.0006498744991750462,0.53125,-8.373573831764305e-05,0.47963075984131825
rsi_sobrecompra,BNB,4,OOS,61,0.0002885607175848773,0.5573770491803278,-0.00016830012232247913,0.49221255153458543
rsi_sobrecompra,BNB,8,IS,192,-0.0005529124505448268,0.53125,-0.00016203353152345024,0.4808513884650595
rsi_sobrecompra,BNB,8,OOS,61,0.0006725771871473835,0.5245901639344263,-0.0003442857266116368,0.47959651535992665
rsi_sobrecompra,BNB,24,IS,192,-0.0001574142567939586,0.5260416666666666,-0.00045667808205598795,0.47833384192859324
rsi_sobrecompra,BNB,24,OOS,61,-0.0018739016057323034,0.4918032786885246,-0.0011036485667066595,0.46732627703635526
rsi_sobrecompra,BNB,72,IS,192,-0.0004844019237901347,0.4635416666666667,-0.0014433553553708203,0.47184925236496794
rsi_sobrecompra,BNB,72,OOS,58,5.9219594034068304e-05,0.5517241379310345,-0.0030451661206450753,0.45137273150302465
rsi_sobreventa,BNB,4,IS,178,-0.0017596626704648691,0.5561797752808989,8.373573831764305e-05,0.5203692401586817
rsi_sobreventa,BNB,4,OOS,68,0.0016141195510034345,0.5441176470588235,0.00016830012232247913,0.5068712780577187
rsi_sobreventa,BNB,8,IS,178,-0.00032740335300144284,0.5168539325842697,0.00016203353152345024,0.5191486115349405
rsi_sobreventa,BNB,8,OOS,68,0.0023135254324223344,0.5882352941176471,0.0003442857266116368,0.5197157267308574
rsi_sobreventa,BNB,24,IS,178,0.0009875442739717803,0.5898876404494382,0.00045667808205598795,0.5216661580714068
