condicion,horizonte_h,periodo,n,ret_medio,win_rate,base_ret_medio,base_win_rate,edge,edge_neto_costo
rsi_sobreventa,24,IS,1202.0,-0.0002643629709600161,0.5291181364392679,0.0006172809732547975,0.49565642839579704,-0.0008816439442148136,-0.0018816439442148137
rsi_sobreventa,24,OOS,422.0,0.00047477937363177227,0.518957345971564,0.0010592590612626797,0.49965188808637706,-0.0005844796876309075,-0.0015844796876309075
rsi_sobreventa,72,IS,1202.0,0.0021932193497986243,0.5099833610648918,0.0020833320020374117,0.4948659083626756,0.00010988734776121254,-0.0008901126522387875
rsi_sobreventa,72,OOS,422.0,-0.001866965853363782,0.590047393364929,0.0028018438885533447,0.4997257923212014,-0.004668809741917126,-0.005668809741917126
vwap_ruptura_alza,4,IS,6321.0,0.0003863432331082637,0.5128935295048251,0.00010374353761276878,0.5062691747234678,0.0002825996954954949,-0.0007174003045045051
vwap_ruptura_alza,4,OOS,2202.0,0.000464324251251389,0.5022706630336058,0.00017368877459192575,0.4904120538729871,0.00029063547665946323,-0.0007093645233405368
vwap_ruptura_alza,8,IS,6321.0,0.0005498410605327189,0.5170068027210885,0.0002064175323965172,0.504739788708292,0.00034342352813620175,-0.0006565764718637983
vwap_ruptura_alza,8,OOS,2197.0,0.0010879428298042177,0.517523896222121,0.00035078745054762934,0.4963724598582874,0.0007371553792565883,-0.0002628446207434117
vwap_ruptura_alza,24,IS,6321.0,1.2724939736357646e-05,0.4901123239993672,0.0005951171767310073,0.4970518070396918,-0.0005823922369946496,-0.0015823922369946498
vwap_ruptura_alza,24,OOS,2179.0,0.0015507730068429408,0.505277650298302,0.0011518097906216003,0.5028248072848298,0.00039896321622134054,-0.0006010367837786595
vwap_ruptura_alza,72,IS,6321.0,0.002304529144847305,0.503717766176238,0.0020162905703950563,0.4965372279455933,0.0002882385744522489,-0.0007117614255477511
vwap_ruptura_alza,72,OOS,2176.0,0.002506973573238182,0.5064338235294118,0.0030460979289873404,0.5023882993195281,-0.0005391243557491582,-0.0015391243557491582
vwap_ruptura_baja,4,IS,6443.0,0.0001297592627702999,0.494024522737855,-0.0001036532169150591,0.4938243541411182,0.000233412479685359,-0.000766587520314641
vwap_ruptura_baja,4,OOS,2239.0,-0.00011350320177696238,0.4935238945958017,-0.00017113347447077047,0.5060165334629882,5.763027269380809e-05,-0.0009423697273061919
vwap_ruptura_baja,8,IS,6443.0,-0.0001785800738695289,0.4954213875523824,-0.00020630462199812836,0.4954202123086253,2.772454812859947e-05,-0.0009722754518714005
vwap_ruptura_baja,8,OOS,2235.0,-0.0007701299953060898,0.4966442953020134,-0.0003457725336606338,0.5011261027209376,-0.00042435746164545596,-0.001424357461645456
vwap_ruptura_baja,24,IS,6443.0,-6.845524059672461e-05,0.49868073878627966,-0.0005947751673338978,0.5032508523597449,0.0005263199267371731,-0.0004736800732628269
vwap_ruptura_baja,24,OOS,2223.0,-0.0011868784439438393,0.49572649572649574,-0.0011374857845180156,0.4958049434386884,-4.9392659425823724e-05,-0.0010493926594258237
vwap_ruptura_baja,72,IS,6443.0,-0.001156201477904792,0.5028713332298619,-0.0020153107441772474,0.5038135673653187,0.0008591092662724553,-0.00014089073372754472
vwap_ruptura_baja,72,OOS,2212.0,-0.002927176720114028,0.48553345388788427,-0.003007823979669835,0.4971545885632719,8.064725955580707e-05,-0.000919352740444193
