asset,grp,period,cagr_strat,cagr_bh,sharpe_strat,sharpe_bh,maxdd_strat,maxdd_bh,exposure,n_trades
EWZ,ETF,IS,-0.023618223611048483,-0.02025426288017307,-0.001839263831555005,0.08696248052260772,-0.6510043997826864,-0.7486210576898147,0.44157392686804453,36
EWZ,ETF,OOS,-0.07263134975893404,0.019899368625535985,-0.11974286618087347,0.23644448211384766,-0.5451169414321138,-0.5699235630476878,0.4445114595898673,17
GE,Accion,IS,-0.011646679959115058,0.0009233602512339623,0.02410518204362481,0.13538574969122796,-0.6196103944073276,-0.7803633295647242,0.43720190779014306,39
GE,Accion,OOS,0.07286876081768967,0.3400051651467235,0.3836333251527234,0.9607030871571736,-0.509772272881744,-0.5824125320471945,0.4794933655006031,27
GILD,Accion,IS,0.15840853737800686,0.1312743694490659,0.8386798658177496,0.581016002144995,-0.23712524654704636,-0.45739785784546017,0.424483306836248,49
GILD,Accion,OOS,0.05892564506027487,0.15741769984837628,0.43833565194289476,0.6809572310245144,-0.24917290699206107,-0.30468108243700043,0.4505428226779252,23
GOOGL,Accion,IS,0.0928402763641969,0.15648776114550622,0.6572229245578545,0.7184201288678043,-0.1887364029928139,-0.30423604307998564,0.4018282988871224,42
GOOGL,Accion,OOS,0.04814947342223452,0.2898727115432653,0.31350274884359586,0.9439700362708502,-0.4112659773965932,-0.4432005339904719,0.44752714113389624,20
GS,Accion,IS,0.009995099325369461,0.04324983576441177,0.14481388209270746,0.29334308141427257,-0.4288805394533819,-0.5175693410109448,0.39666136724960255,34
GS,Accion,OOS,0.13329886037678373,0.28719360232837343,0.5934238855461127,0.928532713338631,-0.39585321645009264,-0.45621008226082616,0.44209891435464416,28
HD,Accion,IS,0.10038239490227441,0.2549100819845542,0.7306779025284805,1.2463008990014468,-0.2245804225011222,-0.2560863713528245,0.3978537360890302,42
HD,Accion,OOS,0.04947962707724529,0.10331434336452294,0.3278423672252016,0.4934640313368247,-0.3646593683898023,-0.37993698295407674,0.4806996381182147,27
HON,Accion,IS,0.13654527717709097,0.1915978651901542,0.8916935519714564,0.9642247567512059,-0.2769606936046548,-0.3147499817365005,0.3998410174880763,53
HON,Accion,OOS,0.06383737652055821,0.07521011519966203,0.3948729728074114,0.40341989940616113,-0.42365529681622915,-0.43010346524146703,0.4499396863691194,28
IBM,Accion,IS,0.0278630356043319,0.03114691788372337,0.2676371973021932,0.2549834026255961,-0.3341403135557425,-0.40763647363676503,0.4185214626391097,34
IBM,Accion,OOS,0.1362184766212131,0.14435938389378689,0.6924920184256026,0.5896603813512797,-0.32324984017863156,-0.38980097981241735,0.4487334137515078,29
INTC,Accion,IS,0.04719131297821977,0.14618844947194232,0.3630332696723316,0.6789672452790348,-0.2523896950681723,-0.31892193238439237,0.38553259141494434,35
INTC,Accion,OOS,0.02199078357214468,0.10470347870114494,0.2324845500545973,0.4514510897238182,-0.5504557085434278,-0.7079731977861454,0.45235223160434257,25
INTU,Accion,IS,0.16515217513299807,0.24978154937505614,0.9289185445002421,1.0573502177780905,-0.2599592924188191,-0.2876762785225945,0.3942766295707472,50
INTU,Accion,OOS,-0.04695759473072314,0.041068763537057684,0.01631990658046853,0.29905274865493736,-0.6144442115860774,-0.6819406517170052,0.49155609167671893,23
IWM,ETF,IS,0.07718913509405101,0.11575940067754642,0.5818037661449029,0.6663001678885293,-0.2715471369189292,-0.28914771410727913,0.39705882352941174,46
IWM,ETF,OOS,0.060940797939531555,0.1086714645008171,0.3881300972746047,0.5268840705238527,-0.3615319373439526,-0.4107235585567456,0.4294330518697226,27
JNJ,Accion,IS,0.05472699524280977,0.11810371990453428,0.5463625275189027,0.8191297421144942,-0.1670285381725165,-0.1828287519426125,0.39546899841017485,38
JNJ,Accion,OOS,0.08604016110727941,0.12158500704707609,0.6224754914988934,0.6801624788258305,-0.22539721855613215,-0.2736625868308957,0.425211097708082,27
JPM,Accion,IS,0.09761598850784914,0.15285388075773998,0.6006068897876687,0.6932282197303976,-0.3087805543111828,-0.39662644775358047,0.3847376788553259,43
JPM,Accion,OOS,0.08836677331488829,0.18583101934387036,0.45974098871898245,0.7078747802060774,-0.4032361236638774,-0.4362650318382184,0.44209891435464416,28
KO,Accion,IS,0.07395509792372534,0.102152567705309,0.7616031924075246,0.7322368150831922,-0.10483088968024723,-0.1384954778051284,0.42726550079491254,44
KO,Accion,OOS,0.07783068053346609,0.10386552261595439,0.5422868802140685,0.5884819596228454,-0.35693458612323237,-0.3698752025660127,0.41857659831121835,31
LINK,Cripto,IS,-0.06844462118540862,0.9449150566677158,0.13272354166255584,1.1225875632579323,-0.6783243376877115,-0.8792724883867666,0.31417624521072796,7
LINK,Cripto,OOS,-0.007451813212000169,0.17354917817386228,0.2869004241176473,0.6187006328213437,-0.8363025247064937,-0.9019294299917971,0.4562422231439237,29
LLY,Accion,IS,0.12812540424324537,0.1796741690235133,0.9197460490244662,0.9281933010644328,-0.19410123389380274,-0.2423941821127058,0.41375198728139906,47
LLY,Accion,OOS,0.2905585990862076,0.4131390321747348,1.16230972711671,1.1756723333009298,-0.22256003978461092,-0.34475006099527594,0.4131483715319662,32
LMT,Accion,IS,0.12490050372121186,0.21645741647391614,1.0196149137726,1.1974648578036213,-0.2672945334780007,-0.3032567943124269,0.3712241653418124,50
LMT,Accion,OOS,0.030097583093650293,0.09325468883213017,0.2456832000221333,0.468202289263902,-0.3489056657429046,-0.3667428565008478,0.4867310012062726,23
LOW,Accion,IS,0.07486409233053859,0.20065078933227265,0.5093648545447795,0.8686436179939976,-0.27259140852047137,-0.34179521505737476,0.3755961844197138,34
LOW,Accion,OOS,0.037567875019781205,0.12044797958203834,0.2754422889977958,0.5231624282097267,-0.4525225366687168,-0.4862921948222967,0.45536791314837155,25
LTC,Cripto,IS,-0.13107255542068608,0.31522951907446806,-0.03861415440073287,0.7363751538224063,-0.9157057813099302,-0.9345186339939673,0.42908902691511386,21
LTC,Cripto,OOS,-0.021658292556898218,0.010229724155299769,0.17881024292049805,0.37475368021965305,-0.7350627250424221,-0.8942865652880204,0.41932807963500623,32
MCD,Accion,IS,0.054422736510529424,0.15569832127800032,0.5665020077935031,1.005120117817631,-0.13666159899282726,-0.16344480563923636,0.3883147853736089,36
MCD,Accion,OOS,0.024912722108593188,0.07563865731955755,0.22464301136471698,0.4373432875001439,-0.3508681158219743,-0.3655940868407528,0.46260554885404104,25
