i,date,playbook,score,asset,regime,outcome,entry,stop,target,bars_held,mfe,mae,ret_horizon,r_mult,hit10_no_stop,risk_pct,class
2279,2025-01-27,A,70.0,YPFD,RISK_ON,LOSS,39.84000015258789,35.423654325730524,43.824000167846684,12.0,0.033634541853806876,-0.38102410258624797,-0.2105923533512699,-1.0,False,0.11085205346241689,stock
2409,2025-08-04,A,70.0,YPFD,RISK_ON,LOSS,33.220001220703125,30.099241117458128,36.54200134277344,15.0,0.12251654260288669,-0.3130644534533459,0.09662850591565131,-1.0,True,0.09394220314778619,stock
2442,2025-09-19,C,90.0,YPFD,RISK_ON,LOSS,27.399999618530273,23.383686360755153,30.139999580383304,9.0,0.45255473690387604,-0.1598539861951116,0.29963507686580293,-1.0,True,0.14658077787194346,stock
2502,2025-12-15,A,75.0,YPFD,RISK_ON,WIN,34.79999923706055,31.294786868498694,38.27999916076661,28.0,0.16034488371804967,-0.05919533344127026,0.13448277033844813,0.9928071562562292,True,0.1007244955577168,stock
2519,2026-01-09,A,80.0,YPFD,RISK_ON,WIN,33.63999938964844,30.462936602813485,37.00399932861328,10.0,0.45541022511250184,-0.009512476237520051,0.2934006870083927,1.0588396152901096,True,0.09444300964561209,stock
2588,2026-04-21,A,70.0,YPFD,RISK_ON,WIN,44.060001373291016,39.501738040714116,48.466001510620124,20.0,0.3048116179432756,-0.05515207057276306,0.19178385576185075,0.9665962266463181,True,0.10345581458243211,stock
2648,2026-07-17,A,75.0,YPFD,,INCOMPLETE,,,,,,,,,,,stock
2016,2024-01-08,A,70.0,PAMP,RISK_ON,LOSS,48.84000015258789,43.53448775314314,53.72400016784668,21.0,0.02395573639004822,-0.21887794007597994,-0.047911550886100884,-1.0,False,0.10863047466971863,stock
2087,2024-04-19,A,75.0,PAMP,RISK_ON,WIN,43.08000183105469,38.17729463068683,47.38800201416016,10.0,0.19127199427901687,-0.018105909026026712,0.08054775437601003,0.8786982389611675,True,0.1138047119773724,stock
2149,2024-07-19,A,75.0,PAMP,RISK_ON,LOSS,46.61000061035156,41.90969400515662,51.27100067138672,11.0,0.4617034190359366,-0.17228059802928863,0.4556961507323465,-1.0,True,0.1008433070938656,stock
2206,2024-10-09,B,70.0,PAMP,RISK_ON,WIN,63.310001373291016,57.70286163080297,69.64100151062013,20.0,0.5408308471923653,-0.014847613663183656,0.4986573242035275,1.1290961930832593,True,0.08856641321845819,stock
2279,2025-01-27,A,70.0,PAMP,RISK_ON,LOSS,83.52999877929688,73.18907479746235,91.88299865722657,23.0,0.09074586306510768,-0.28612472238064146,-0.11373159510155051,-1.0,False,0.12379892413451758,stock
2513,2025-12-31,A,82.0,PAMP,RISK_ON,LOSS,88.44000244140625,80.87221286257305,97.28400268554688,4.0,0.021031213919107117,-0.21596568946467254,0.009158723838009752,-1.0,False,0.08556975768795408,stock
2047,2024-02-22,A,75.0,NOW,RISK_ON,LOSS,155.07000732421875,144.61002013900156,170.57700805664064,40.0,0.04181333090877315,-0.11795967358177994,-0.005829669925259795,-1.0,False,0.06745332231362794,stock
2057,2024-03-07,A,90.0,NOW,RISK_ON,LOSS,153.82000732421875,142.9904167827315,169.20200805664064,30.0,0.05027950306862139,-0.17047202251261517,-0.08573659414956114,-1.0,False,0.07040430389956269,stock
2153,2024-07-25,A,70.0,NOW,RISK_ON,LOSS,165.1699981689453,151.37369718680293,181.68699798583987,7.0,0.1498335131863302,-0.09656715580954123,0.09908577523693518,-1.0,True,0.08352788723791561,stock
2187,2024-09-12,B,80.0,NOW,RISK_ON,WIN,176.35400390625,164.68904584988607,193.98940429687502,30.0,0.313154205186988,-0.021014600343879475,0.30099685607728155,1.5118271583500313,True,0.06614512740274979,stock
2257,2024-12-20,A,72.0,NOW,RISK_ON,LOSS,217.1999969482422,202.81788235644441,238.9199966430664,13.0,0.10321362607072326,-0.2836924359188808,-0.22785447021055094,-1.0,True,0.06621599813017018,stock
2275,2025-01-21,A,70.0,NOW,RISK_ON,LOSS,223.0,210.09794552268454,245.3,7.0,0.07452016240278159,-0.3913363469555774,-0.3122601017289097,-1.0,False,0.0578567465350469,stock
2376,2025-06-16,A,80.0,NOW,RISK_ON,LOSS,200.77000427246094,189.6274538734781,220.84700469970704,17.0,0.0533346233293861,-0.1631917461330329,-0.07156453239454452,-1.0,False,0.055499079353813846,stock
2408,2025-08-01,C,75.0,NOW,RISK_ON,LOSS,183.70399475097656,169.38616215251355,202.07439422607425,7.0,0.05999871254171252,-0.0854526765634831,0.017593574337218643,-1.0,False,0.07793969106590103,stock
2502,2025-12-15,C,75.0,NOW,RISK_ON,LOSS,154.8939971923828,141.41725584368865,170.3833969116211,18.0,0.04543758809977172,-0.3673092451847493,-0.2658850494816687,-1.0,False,0.08700622098321636,stock
2029,2024-01-26,A,75.0,KO,RISK_ON,TIMEOUT,55.19291667247693,53.757323060293,60.71220833972463,63.0,0.06320592827153426,-0.015952720858314895,0.04876714548667849,1.8749045512303004,False,0.0260104683487369,stock
2130,2024-06-21,A,70.0,KO,RISK_ON,WIN,59.51470111092414,57.89249706399738,65.46617122201657,29.0,0.16732827684633422,-0.011112943939758146,0.1451202473619253,3.6687555565943595,True,0.027257198921377096,stock
2206,2024-10-09,A,75.0,KO,RISK_ON,LOSS,66.42963496577298,64.2254793163329,73.07259846235029,10.0,0.019762350065249068,-0.12530743656553478,-0.11881438816193257,-1.0,False,0.03318030650892104,stock
2349,2025-05-07,A,70.0,KO,RISK_ON,LOSS,69.71586623715483,66.26140480691032,76.68745286087032,5.0,0.010597336788259248,-0.05510195554168362,-0.01757940141538239,-1.0,False,0.0495505774609951,stock
2365,2025-05-30,A,85.0,KO,RISK_ON,LOSS,69.55171748864491,66.81218360329001,76.50688923750941,35.0,0.012982443785916509,-0.05287190519831686,-0.035394658631238696,-1.0,False,0.03938844336665244,stock
2380,2025-06-23,A,85.0,KO,RISK_ON,LOSS,68.01379123846804,65.60737565279187,74.81517036231486,50.0,0.035887979014859184,-0.04837641202977072,-0.046071149592194716,-1.0,False,0.03538128873361682,stock
